Program Time [s],data 0,data 1,,,,Program Time [s],data 0,data 1,,,,Program Time [s],data 0,data 1
1418.19,2.27E+06,2.55E+06,,,,1423.09,2.26E+06,2.55E+06,,,,1425.63,2.26E+06,2.55E+06
1418.23,2.27E+06,2.55E+06,,,,1423.13,2.26E+06,2.55E+06,,,,1425.67,2.26E+06,2.55E+06
1418.27,2.27E+06,2.55E+06,,,,1423.17,2.26E+06,2.55E+06,,,,1425.71,2.26E+06,2.55E+06
1418.31,2.27E+06,2.55E+06,,,,1423.21,2.26E+06,2.55E+06,,,,1425.75,2.26E+06,2.55E+06
1418.35,2.27E+06,2.55E+06,,,,1423.25,2.26E+06,2.55E+06,,,,1425.79,2.26E+06,2.55E+06
1418.39,2.27E+06,2.55E+06,,,,1423.29,2.26E+06,2.55E+06,,,,1425.83,2.26E+06,2.55E+06
1418.43,2.27E+06,2.55E+06,,,,1423.33,2.26E+06,2.55E+06,,,,1425.87,2.26E+06,2.55E+06
1418.47,2.27E+06,2.55E+06,,,,1423.37,2.26E+06,2.55E+06,,,,1425.91,2.26E+06,2.55E+06
1418.51,2.27E+06,2.55E+06,,,,1423.41,2.26E+06,2.55E+06,,,,1425.95,2.26E+06,2.55E+06
1418.55,2.27E+06,2.55E+06,,,,1423.45,2.26E+06,2.55E+06,,,,1425.99,2.26E+06,2.55E+06
1418.59,2.27E+06,2.55E+06,,,,1423.5,2.26E+06,2.55E+06,,,,1426.03,2.26E+06,2.55E+06
1418.63,2.27E+06,2.55E+06,,,,1423.54,2.26E+06,2.55E+06,,,,1426.07,2.26E+06,2.55E+06
1418.67,2.27E+06,2.55E+06,,,,1423.57,2.26E+06,2.55E+06,,,,1426.11,2.26E+06,2.55E+06
1418.71,2.27E+06,2.55E+06,,,,1423.61,2.26E+06,2.55E+06,,,,1426.15,2.26E+06,2.55E+06
1418.75,2.27E+06,2.55E+06,,,,1423.66,2.26E+06,2.55E+06,,,,1426.19,2.26E+06,2.55E+06
1418.79,2.27E+06,2.55E+06,,,,1423.7,2.26E+06,2.55E+06,,,,1426.23,2.26E+06,2.55E+06
1418.83,2.27E+06,2.55E+06,,,,1423.74,2.26E+06,2.55E+06,,,,1426.27,2.26E+06,2.55E+06
1418.87,2.27E+06,2.55E+06,,,,1423.78,2.26E+06,2.55E+06,,,,1426.31,2.26E+06,2.55E+06
1418.91,2.27E+06,2.55E+06,,,,1423.82,2.26E+06,2.55E+06,,,,1426.35,2.26E+06,2.55E+06
1418.95,2.27E+06,2.55E+06,,,,1423.86,2.26E+06,2.55E+06,,,,1426.39,2.26E+06,2.55E+06
1418.99,2.27E+06,2.55E+06,,,,1423.9,2.26E+06,2.55E+06,,,,1426.43,2.26E+06,2.55E+06
1419.03,2.27E+06,2.55E+06,,,,1423.94,2.26E+06,2.55E+06,,,,1426.47,2.26E+06,2.55E+06
1419.07,2.27E+06,2.55E+06,,,,1423.98,2.26E+06,2.55E+06,,,,1426.51,2.26E+06,2.55E+06
1419.11,2.27E+06,2.55E+06,,,,1424.02,2.26E+06,2.55E+06,,,,1426.55,2.26E+06,2.55E+06
1419.15,2.27E+06,2.55E+06,,,,1424.06,2.26E+06,2.55E+06,,,,1426.59,2.26E+06,2.55E+06
1419.19,2.27E+06,2.55E+06,,,,1424.1,2.26E+06,2.55E+06,,,,1426.63,2.26E+06,2.55E+06
1419.23,2.27E+06,2.55E+06,,,,1424.14,2.26E+06,2.55E+06,,,,1426.67,2.26E+06,2.55E+06
1419.27,2.27E+06,2.55E+06,,,,1424.18,2.26E+06,2.55E+06,,,,1426.71,2.26E+06,2.55E+06
1419.31,2.27E+06,2.55E+06,,,,1424.22,2.26E+06,2.55E+06,,,,1426.75,2.26E+06,2.55E+06
1419.35,2.27E+06,2.55E+06,,,,1424.26,2.26E+06,2.55E+06,,,,1426.79,2.26E+06,2.55E+06
1419.39,2.27E+06,2.55E+06,,,,1424.3,2.26E+06,2.55E+06,,,,1426.83,2.26E+06,2.55E+06
1419.43,2.27E+06,2.55E+06,,,,1424.34,2.26E+06,2.55E+06,,,,1426.87,2.26E+06,2.55E+06
1419.47,2.27E+06,2.55E+06,,,,1424.38,2.26E+06,2.55E+06,,,,1426.91,2.26E+06,2.55E+06
1419.51,2.27E+06,2.55E+06,,,,1424.42,2.26E+06,2.55E+06,,,,1426.95,2.26E+06,2.55E+06
1419.55,2.27E+06,2.55E+06,,,,1424.46,2.26E+06,2.55E+06,,,,1426.99,2.26E+06,2.55E+06
1419.59,2.27E+06,2.55E+06,,,,1424.5,2.26E+06,2.55E+06,,,,1427.03,2.26E+06,2.55E+06
1419.63,2.27E+06,2.55E+06,,,,1424.54,2.26E+06,2.55E+06,,,,1427.07,2.26E+06,2.55E+06
1419.68,2.27E+06,2.55E+06,,,,1424.58,2.26E+06,2.55E+06,,,,1427.11,2.26E+06,2.55E+06
1419.72,2.27E+06,2.55E+06,,,,1424.62,2.26E+06,2.55E+06,,,,1427.15,2.26E+06,2.55E+06
1419.76,2.27E+06,2.55E+06,,,,1424.66,2.26E+06,2.55E+06,,,,1427.19,2.26E+06,2.55E+06
1419.8,2.27E+06,2.55E+06,,,,1424.7,2.26E+06,2.55E+06,,,,1427.23,2.26E+06,2.55E+06
1419.84,2.27E+06,2.55E+06,,,,1424.74,2.26E+06,2.55E+06,,,,1427.27,2.26E+06,2.55E+06
1419.88,2.27E+06,2.55E+06,,,,1424.78,2.26E+06,2.55E+06,,,,1427.31,2.26E+06,2.55E+06
1419.92,2.27E+06,2.55E+06,,,,1424.82,2.26E+06,2.55E+06,,,,1427.35,2.26E+06,2.55E+06
1419.96,2.27E+06,2.55E+06,,,,1424.86,2.26E+06,2.55E+06,,,,1427.39,2.26E+06,2.55E+06
1420,2.27E+06,2.55E+06,x,,,1424.9,2.26E+06,2.55E+06,,,,1427.43,2.26E+06,2.55E+06
1420.04,2.27E+06,2.55E+06,,,,1424.94,2.26E+06,2.55E+06,,,,1427.48,2.26E+06,2.55E+06
1420.08,2.27E+06,2.55E+06,,,,1424.98,2.26E+06,2.55E+06,,,,1427.52,2.26E+06,2.55E+06
1420.12,2.27E+06,2.55E+06,,,,1425.02,2.26E+06,2.55E+06,,,,1427.55,2.26E+06,2.55E+06
1420.16,2.27E+06,2.55E+06,,,,1425.06,2.26E+06,2.55E+06,,,,1427.6,2.26E+06,2.55E+06
1420.2,2.27E+06,2.55E+06,,,,1425.1,2.26E+06,2.55E+06,,,,1427.64,2.26E+06,2.55E+06
1420.24,2.27E+06,2.55E+06,,,,1425.14,2.26E+06,2.55E+06,,,,1427.68,2.26E+06,2.55E+06
1420.28,2.27E+06,2.55E+06,,,,1425.18,2.26E+06,2.55E+06,,,,1427.72,2.26E+06,2.55E+06
1420.32,2.27E+06,2.55E+06,,,,1425.22,2.26E+06,2.55E+06,,,,1427.76,2.26E+06,2.55E+06
1420.36,2.27E+06,2.55E+06,,,,1425.26,2.26E+06,2.55E+06,,,,1427.8,2.26E+06,2.55E+06
1420.4,2.27E+06,2.55E+06,,,,1425.31,2.26E+06,2.55E+06,,,,1427.84,2.26E+06,2.55E+06
1420.44,2.27E+06,2.55E+06,,,,1425.34,2.26E+06,2.55E+06,,,,1427.88,2.26E+06,2.55E+06
1420.48,2.27E+06,2.55E+06,,,,1425.38,2.26E+06,2.55E+06,,,,1427.92,2.26E+06,2.55E+06
1420.52,2.27E+06,2.55E+06,,,,1425.42,2.26E+06,2.55E+06,,,,1427.96,2.26E+06,2.55E+06
1420.56,2.27E+06,2.55E+06,,,,1425.47,2.26E+06,2.55E+06,,,,1428,2.26E+06,2.55E+06
1420.6,2.27E+06,2.55E+06,,,,1425.5,2.26E+06,2.55E+06,,,,1428.04,2.26E+06,2.55E+06
1420.64,2.27E+06,2.55E+06,,,,1425.54,2.26E+06,2.55E+06,,,,1428.08,2.26E+06,2.55E+06
1420.68,2.27E+06,2.55E+06,,,,1425.58,2.26E+06,2.55E+06,,,,1428.12,2.26E+06,2.55E+06
1420.72,2.27E+06,2.55E+06,,,,1425.63,2.26E+06,2.55E+06,,,,1428.16,2.26E+06,2.55E+06
1420.76,2.27E+06,2.55E+06,,,,1425.67,2.26E+06,2.55E+06,,,,1428.2,2.26E+06,2.55E+06
1420.8,2.27E+06,2.55E+06,,,,1425.71,2.26E+06,2.55E+06,,,,1428.24,2.26E+06,2.55E+06
1420.84,2.27E+06,2.55E+06,,,,1425.75,2.26E+06,2.55E+06,,,,1428.28,2.26E+06,2.55E+06
1420.88,2.27E+06,2.55E+06,,,,1425.79,2.26E+06,2.55E+06,,,,1428.32,2.26E+06,2.55E+06
1420.92,2.27E+06,2.55E+06,,,,1425.83,2.26E+06,2.55E+06,,,,1428.36,2.26E+06,2.55E+06
1420.96,2.27E+06,2.55E+06,,,,1425.87,2.26E+06,2.55E+06,,,,1428.4,2.26E+06,2.55E+06
1421,2.27E+06,2.55E+06,,,,1425.91,2.26E+06,2.55E+06,,,,,,
1421.04,2.27E+06,2.55E+06,,,,1425.95,2.26E+06,2.55E+06,,,,,,
1421.08,2.27E+06,2.55E+06,,,,1425.99,2.26E+06,2.55E+06,,,,,,
1421.12,2.27E+06,2.55E+06,,,,1426.03,2.26E+06,2.55E+06,,,,,,
1421.16,2.27E+06,2.55E+06,,,,1426.07,2.26E+06,2.55E+06,,,,,,
1421.2,2.27E+06,2.55E+06,,,,1426.11,2.26E+06,2.55E+06,,,,,,
1421.24,2.27E+06,2.55E+06,,,,1426.15,2.26E+06,2.55E+06,,,,,,
1421.28,2.27E+06,2.55E+06,,,,1426.19,2.26E+06,2.55E+06,,,,,,
1421.32,2.27E+06,2.55E+06,,,,1426.23,2.26E+06,2.55E+06,,,,,,
1421.36,2.27E+06,2.55E+06,,,,1426.27,2.26E+06,2.55E+06,,,,,,
1421.4,2.27E+06,2.55E+06,,,,1426.31,2.26E+06,2.55E+06,,,,,,
1421.44,2.27E+06,2.55E+06,,,,1426.35,2.26E+06,2.55E+06,,,,,,
1421.48,2.27E+06,2.55E+06,,,,1426.39,2.26E+06,2.55E+06,,,,,,
1421.52,2.27E+06,2.55E+06,,,,1426.43,2.26E+06,2.55E+06,,,,,,
1421.56,2.27E+06,2.55E+06,,,,1426.47,2.26E+06,2.55E+06,,,,,,
1421.6,2.27E+06,2.55E+06,,,,1426.51,2.26E+06,2.55E+06,,,,,,
1421.65,2.27E+06,2.55E+06,,,,1426.55,2.26E+06,2.55E+06,,,,,,
1421.69,2.27E+06,2.55E+06,,,,1426.59,2.26E+06,2.55E+06,,,,,,
1421.73,2.27E+06,2.55E+06,,,,1426.63,2.26E+06,2.55E+06,,,,,,
1421.77,2.27E+06,2.55E+06,,,,1426.67,2.26E+06,2.55E+06,,,,,,
1421.81,2.27E+06,2.55E+06,,,,1426.71,2.26E+06,2.55E+06,,,,,,
1421.85,2.27E+06,2.55E+06,,,,1426.75,2.26E+06,2.55E+06,,,,,,
1421.89,2.27E+06,2.55E+06,,,,1426.79,2.26E+06,2.55E+06,,,,,,
1421.93,2.27E+06,2.55E+06,,,,1426.83,2.26E+06,2.55E+06,,,,,,
1421.97,2.27E+06,2.55E+06,,,,1426.87,2.26E+06,2.55E+06,,,,,,
1422.01,2.27E+06,2.55E+06,,,,1426.91,2.26E+06,2.55E+06,,,,,,
1422.05,2.27E+06,2.55E+06,,,,1426.95,2.26E+06,2.55E+06,,,,,,
